course_name,login_count,active_days,login_frequency,login_consistency,course_access_count,module_completion_rate,page_view_count,class_exercise_submissions,class_exercises_attempted,total_practice,exercises_attempted,quiz_attempt_count,quiz_completion_rate,quiz_average_score,quiz_view_count,mock_exam_score,portal_based_exam_score,model_exam_score,pba_score,cia_score,end_semester_score,in_between_assessment_grade,pba_assessment_score,average_access_hour,study_session_count,time_spent_on_course_minutes,study_frequency_per_week,week_1_6_engagement,week_1_9_engagement,week_1_12_engagement,week_1_16_engagement,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,completed_modules,study_interval_regularity
Course 3,204,56,3.64,0.26,75,100.0,0,0,0,0,0,63,100.0,31.87,817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.52,27,1458.0,9,1697,1834,1897,1897,68,85,383,652,509,0,64,11,62,0,0,63,0,0,0,0,62,0.622
Course 3,120,62,1.94,0.27,104,100.0,0,0,0,0,0,91,100.0,28.5,1127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.43,31,3279.0,9,1985,2515,2636,2636,0,8,733,605,639,0,212,1,317,32,0,89,0,0,0,0,87,0.706
Course 3,137,81,1.69,0.35,56,100.0,0,0,0,0,0,87,100.0,33.91,1275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.88,37,3924.0,11,2514,2776,3033,3033,0,145,700,860,710,99,155,33,74,140,34,83,0,0,0,0,87,0.762
Course 3,322,96,3.35,0.41,68,100.0,0,0,0,0,0,61,100.0,27.94,1025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.89,33,5560.0,10,1881,2078,2123,2123,0,95,237,958,590,1,140,1,56,20,0,25,0,0,0,0,61,0.669
Course 3,196,78,2.51,0.33,103,100.0,0,0,0,0,0,76,100.0,32.35,1059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.36,33,4489.0,12,2106,2353,2507,2507,2,100,626,791,586,1,189,2,56,33,14,107,0,0,0,0,76,0.715
Course 3,252,92,2.74,0.39,114,100.0,0,0,0,0,0,108,100.0,33.09,1291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.91,46,6293.0,11,2446,2717,3109,3109,0,67,665,984,642,88,106,34,131,121,108,163,0,0,0,0,103,0.802
Course 3,269,89,3.02,0.38,140,100.0,0,0,0,0,0,101,100.0,36.69,1571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.74,42,4667.0,12,2893,3337,3536,3536,93,151,796,839,829,185,251,33,160,97,35,67,0,0,0,0,96,0.772
Course 3,212,89,2.38,0.38,133,100.0,0,0,0,0,0,106,100.0,33.85,1359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.36,52,2658.0,12,2413,2827,3178,3181,78,265,657,782,631,0,251,22,141,58,154,139,3,0,0,0,104,0.781
Course 3,145,72,2.01,0.31,47,100.0,0,0,0,0,0,77,100.0,36.84,1072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.85,29,5044.0,9,2202,2393,2466,2466,0,200,590,788,623,1,120,0,71,34,0,39,0,0,0,0,73,0.692
Course 3,73,34,2.15,0.16,24,100.0,0,0,0,0,0,26,100.0,18.73,410,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.35,14,1382.0,5,945,947,947,947,0,30,215,527,173,0,0,2,0,0,0,0,0,0,0,0,26,0.583
Course 3,132,66,2.0,0.29,80,100.0,0,0,0,0,0,79,100.0,37.99,1201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.74,32,3069.0,9,2479,2708,2739,2739,0,145,716,846,697,75,150,3,76,31,0,0,0,0,0,0,76,0.783
Course 3,156,77,2.03,0.33,76,100.0,0,0,0,0,0,74,100.0,33.25,871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.36,32,1928.0,10,1800,2040,2073,2073,0,190,588,630,388,4,173,4,63,32,0,1,0,0,0,0,73,0.701
Course 3,134,56,2.39,0.25,65,100.0,0,0,0,0,0,43,100.0,29.41,670,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.42,17,1718.0,5,1405,1507,1507,1507,0,154,325,571,355,0,102,0,0,0,0,0,0,0,0,0,42,0.764
Course 3,144,66,2.18,0.28,72,100.0,0,0,0,0,0,49,100.0,27.88,795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.81,22,2043.0,5,1646,1785,1785,1785,0,0,434,761,451,0,93,0,46,0,0,0,0,0,0,0,47,0.709
Course 3,168,78,2.15,0.33,89,100.0,0,0,0,0,0,92,100.0,34.11,1274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.91,41,3553.0,11,2326,2789,3059,3059,1,192,503,938,692,0,209,6,248,76,61,133,0,0,0,0,92,0.747
Course 3,165,75,2.2,0.32,151,100.0,0,0,0,0,0,89,100.0,35.79,1222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.33,39,3153.0,11,2465,2732,2944,2944,0,109,647,846,639,224,159,34,74,111,35,66,0,0,0,0,86,0.767
Course 3,207,78,2.65,0.34,185,100.0,0,0,0,0,0,93,100.0,28.51,1482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.66,38,4982.0,10,2496,3193,3352,3352,0,289,527,912,673,95,187,223,287,117,0,42,0,0,0,0,90,0.764
Course 3,211,75,2.81,0.33,155,100.0,0,0,0,0,0,92,100.0,28.17,1382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.22,40,5285.0,12,2584,2884,3081,3081,10,255,563,876,701,179,199,32,69,132,31,34,0,0,0,0,90,0.772
Course 3,217,85,2.55,0.36,151,100.0,0,0,0,0,0,104,100.0,31.64,1366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.06,42,11435.0,12,2526,2813,3242,3245,0,164,642,884,660,176,165,85,37,200,107,122,3,0,0,0,98,0.782
Course 3,291,114,2.55,0.48,129,100.0,0,0,0,0,0,114,100.0,34.79,2430,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.14,62,6385.0,12,4665,5063,5639,5639,214,437,691,1617,1265,441,249,62,87,239,168,169,0,0,0,0,111,0.85
Course 3,193,97,1.99,0.41,115,100.0,0,0,0,0,0,92,100.0,35.34,1367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.88,37,7146.0,10,2701,3089,3134,3134,0,460,307,1075,694,165,125,52,211,43,0,2,0,0,0,0,84,0.751
